PROVINCE,MUNICIPIO,PROVINCE_DESC,MUNICIPIO_DESC
1,101,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN
2,201,AZUA,AZUA
2,202,AZUA,LAS CHARCAS
2,204,AZUA,PADRE LAS CASAS
2,207,AZUA,PUEBLO VIEJO
3,301,BAORUCO,NEIBA
3,303,BAORUCO,TAMAYO
4,401,BARAHONA,BARAHONA
4,402,BARAHONA,CABRAL
4,404,BARAHONA,PARAISO
4,405,BARAHONA,VICENTE NOBLE
5,501,DAJABON,DAJABON
5,502,DAJABON,LOMA DE CABRERA
5,503,DAJABON,PARTIDO
6,601,DUARTE,SAN FRANCISCO DE MACORIS
6,602,DUARTE,ARENOSO
6,603,DUARTE,CASTILLO
6,604,DUARTE,PIMENTEL
6,605,DUARTE,VILLA RIVA
6,606,DUARTE,LAS GUARANAS
7,701,ELIAS PIÑA,COMENDADOR
8,801,EL SEIBO,EL SEIBO
8,802,EL SEIBO,MICHES
9,901,ESPAILLAT,MOCA
9,902,ESPAILLAT,CAYETANO GERMOSÉN
9,903,ESPAILLAT,GASPAR HERNANDEZ
9,904,ESPAILLAT,JAMAO AL NORTE
10,1001,INDEPENDENCIA,JIMANI
10,1002,INDEPENDENCIA,DUVERGÉ
10,1003,INDEPENDENCIA,LA DESCUBIERTA
11,1101,LA ALTAGRACIA,HIGÜEY
11,1102,LA ALTAGRACIA,SAN RAFAEL DEL YUMA
12,1201,LA ROMANA,LA ROMANA
13,1301,LA VEGA,LA VEGA
13,1302,LA VEGA,CONSTANZA
13,1303,LA VEGA,JARABACOA
13,1304,LA VEGA,JIMA ABAJO
14,1401,MARIA TRINIDAD SANCHEZ,NAGUA
14,1402,MARIA TRINIDAD SANCHEZ,CABRERA
14,1404,MARIA TRINIDAD SANCHEZ,RIO SAN JUAN
15,1501,MONTE CRISTI,MONTE CRISTI
15,1502,MONTE CRISTI,CASTAÑUELAS
15,1503,MONTE CRISTI,GUAYUBIN
15,1504,MONTE CRISTI,LAS MATAS DE SANTA CRUZ
15,1505,MONTE CRISTI,PEPILLO SALCEDO
15,1506,MONTE CRISTI,VILLA VASQUEZ
16,1601,PEDERNALES,PEDERNALES
17,1701,PERAVIA,BANI
17,1702,PERAVIA,NIZAO
18,1801,PUERTO PLATA,PUERTO PLATA
18,1802,PUERTO PLATA,ALTAMIRA
18,1803,PUERTO PLATA,GUANANICO
18,1804,PUERTO PLATA,IMBERT
18,1805,PUERTO PLATA,LOS HIDALGOS
18,1806,PUERTO PLATA,LUPERON
18,1807,PUERTO PLATA,SOSUA
18,1809,PUERTO PLATA,VILLA MONTELLANO
19,1901,HERMANAS MIRABAL,SALCEDO
19,1902,HERMANAS MIRABAL,TENARES
19,1903,HERMANAS MIRABAL,VILLA TAPIA
20,2001,SAMANA,SAMANA
20,2002,SAMANA,SANCHEZ
20,2003,SAMANA,LAS TERRENAS
21,2101,SAN CRISTOBAL,SAN CRISTOBAL
21,2102,SAN CRISTOBAL,SABANA GRANDE DE PALENQUE
21,2103,SAN CRISTOBAL,BAJOS DE HAINA
21,2104,SAN CRISTOBAL,CAMBITA GARABITOS
21,2105,SAN CRISTOBAL,VILLA ALTAGRACIA
21,2106,SAN CRISTOBAL,YAGUATE
21,2107,SAN CRISTOBAL,SAN GREGORIO DE NIGUA
22,2201,SAN JUAN,SAN JUAN
22,2203,SAN JUAN,EL CERCADO
22,2204,SAN JUAN,JUAN DE HERRERA
22,2205,SAN JUAN,LAS MATAS DE FARFAN
23,2301,SAN PEDRO DE MACORIS,SAN PEDRO DE MACORIS
23,2302,SAN PEDRO DE MACORIS,LOS LLANOS
23,2304,SAN PEDRO DE MACORIS,CONSUELO
23,2305,SAN PEDRO DE MACORIS,QUISQUEYA
24,2401,SANCHEZ RAMIREZ,COTUI
24,2402,SANCHEZ RAMIREZ,CEVICOS
24,2403,SANCHEZ RAMIREZ,FANTINO
25,2501,SANTIAGO,SANTIAGO
25,2502,SANTIAGO,BISONO
25,2503,SANTIAGO,JANICO
25,2504,SANTIAGO,LICEY AL MEDIO
25,2505,SANTIAGO,SAN JOSÉ DE LAS MATAS
25,2506,SANTIAGO,TAMBORIL
25,2507,SANTIAGO,VILLA GONZALEZ
26,2601,SANTIAGO RODRIGUEZ,SAN IGNACIO DE SABANETA
26,2602,SANTIAGO RODRIGUEZ,VILLA LOS ALMACIGOS
26,2603,SANTIAGO RODRIGUEZ,MONCION
27,2701,VALVERDE,MAO
27,2702,VALVERDE,ESPERANZA
27,2703,VALVERDE,LAGUNA SALADA
28,2801,MONSEÑOR NOUEL,BONAO
28,2802,MONSEÑOR NOUEL,MAIMON
29,2901,MONTE PLATA,MONTE PLATA
29,2902,MONTE PLATA,BAYAGUANA
29,2903,MONTE PLATA,SABANA GRANDE DE BOYA
29,2904,MONTE PLATA,YAMASA
30,3001,HATO MAYOR,HATO MAYOR
30,3002,HATO MAYOR,SABANA DE LA MAR
31,3101,SAN JOSÉ DE OCOA,SAN JOSÉ DE OCOA
31,3102,SAN JOSÉ DE OCOA,SABANA LARGA
32,3201,SANTO DOMINGO,SANTO DOMINGO ESTE
32,3202,SANTO DOMINGO,SANTO DOMINGO OESTE
32,3203,SANTO DOMINGO,SANTO DOMINGO NORTE
32,3204,SANTO DOMINGO,BOCA CHICA
32,3206,SANTO DOMINGO,LOS ALCARRIZOS
32,3207,SANTO DOMINGO,PEDRO BRAND
