PROV,NUMMUN
01 DISTRITO NACIONAL,1
02 AZUA,4
03 BAORUCO,2
04 BARAHONA,4
05 DAJABON,3
06 DUARTE,6
07 ELIAS PINA,1
08 EL SEIBO,2
09 ESPAILLAT,4
10 INDEPENDENCIA,3
11 LA ALTAGRACIA,2
12 LA ROMANA,1
13 LA VEGA,4
14 MARIA TRINIDAD SANCHEZ,3
15 MONTE CRISTI,6
16 PEDERNALES,1
17 PERAVIA,2
18 PUERTO PLATA,8
19 HERMANAS MIRABAL,3
20 SAMANA,3
21 SAN CRISTOBAL,7
22 SAN JUAN,4
23 SAN PEDRO DE MACORIS,4
24 SANCHEZ RAMIREZ,3
25 SANTIAGO,7
26 SANTIAGO RODRIGUEZ,3
27 VALVERDE,3
28 MONSENOR NOUEL,2
29 MONTE PLATA,4
30 HATO MAYOR,2
31 SAN JOSE DE OCOA,2
32 SANTO DOMINGO,6
