isic,2002AvgRate,duty2010,duty2013
1,11.2825112108,3.22155622156,1.49038595813
10,3.0,0.0,0.0
11,3.0,0.25,0.0
12,3.0,0.0,0.0
13,3.0,0.0,0.0
14,4.66428571429,0.741536796538,0.365558441559
15,16.6983068765,7.72808877218,4.40544960128
16,19.0,12.2171717172,7.68560606061
17,5.16543665314,0.114055686012,0.0542099966454
18,19.4104166667,0.304166666667,0.178888888889
19,16.125,1.40424242424,0.730090909091
2,7.41666666667,0.576981940618,0.146923783287
20,7.29096638235,2.06890756303,1.14823529412
21,7.27679448673,1.75583347554,1.02523025915
22,13.3541666667,5.48611111112,3.51388888889
23,3.21388885,0.431333333334,0.1456
24,4.13057466628,0.929274809035,0.517844202179
25,11.6807949504,3.76852825779,1.94408882211
26,9.9872611465,4.33869909284,2.40219262691
27,6.07122905028,1.99830709328,1.29517521585
28,11.0485473991,3.19882772681,1.95021406728
29,5.02079364952,1.34588744589,0.743572871573
30,2.40540540541,0.0,0.0
31,6.88480391912,0.965537730244,0.464527629234
32,9.7971380404,1.25466789103,0.418732782369
33,8.10476189524,1.21024531025,0.679595959596
34,9.67064934545,3.71221828677,1.0719433294
35,6.52160493827,1.33295922185,0.753460531239
36,17.4184587796,6.66775822745,3.82102313457
40,3.0,0.333333333333,0.0
5,18.4390243902,1.0433604336,0.0
74,3.0,0.48,0.336
92,20.0,9.89898989901,5.65656565657
93,0.0,0.0,0.0
