PROV,MUN,ingoo,singresoo,CODIGO
1,01,12138.1651786,18890.3531469,101
2,01,9239.8,8873.66477273,201
2,03,9431.03571429,6512.36363636,203
2,06,3812.76923077,8032.45714286,206
3,01,5847.53846154,6270.6625,301
3,02,6113.36842105,10893.8857143,302
3,03,6161.16756757,7188.94117647,303
3,04,4700.0,13650.9857143,304
4,01,7045.89772727,8539.59756098,401
4,02,6717.66666667,5258.5,402
5,01,9066.11111111,8955.0,501
5,02,3918.54166667,9979.33333333,502
5,03,6890.35714286,8459.67741935,503
5,05,6802.8125,8087.54545455,505
6,01,6935.87619048,11722.8219178,601
7,01,4100.67647059,7879.20833333,701
7,02,6610.71428571,5332.14285714,702
7,04,3699.23076923,5972.88461538,704
8,01,5874.86965517,8382.71764706,801
8,02,5206.66666667,6751.83333333,802
9,01,9206.81265823,10829.8214286,901
9,04,9756.36363636,11464.7777778,904
10,01,3898.33333333,12710.0,1001
10,02,3973.6,5096.03773585,1002
10,04,3936.23913043,5655.0,1004
10,05,3782.83,13599.6428571,1005
11,01,10204.1518987,14304.7888889,1101
11,02,11199.5,2912.16666667,1102
12,01,11137.6346154,15986.9351648,1201
12,02,5624.0,5526.96428571,1202
12,03,6186.96153846,11558.2903846,1203
13,01,7574.6,9889.28552189,1301
13,02,8833.95744681,9757.16666667,1302
13,04,19934.2857143,9754.25925926,1304
14,01,4446.0,12186.7717391,1401
14,02,4595.81481481,8988.02325581,1402
14,03,10870.0,11475.7575758,1403
15,01,5259.76071429,8678.25581395,1501
15,02,23282.8571429,8567.2037037,1502
15,03,5756.92307692,13002.7666667,1503
15,04,4049.8,12091.4814815,1504
15,06,7765.8,8050.53846154,1506
16,01,5909.08421053,7461.77966102,1601
17,01,7515.05445545,7957.51648352,1701
18,01,7081.59016393,10442.0,1801
18,07,8620.96774194,6481.25,1807
19,01,8443.21621622,8907.64,1901
19,02,8180.76923077,9473.35555556,1902
19,03,6486.875,8971.37931034,1903
20,01,11205.0263158,11996.6233766,2001
20,02,7710.8,10133.9130435,2002
20,03,10474.6875,11698.6111111,2003
21,01,10440.2,11520.8528139,2101
21,03,6760.47058824,10555.6428571,2103
21,05,7745.71428571,9709.64285714,2105
21,07,5397.14285714,8356.74242424,2107
22,01,17190.0,8375.07322176,2201
22,02,4738.4,6667.77777778,2202
22,03,6406.57142857,6428.23076923,2203
22,05,6034.32142857,5904.875,2205
22,06,2091.4375,13961.6666667,2206
23,01,10942.1878788,9214.40195122,2301
23,02,5123.85714286,4461.53846154,2302
24,01,5939.33333333,13255.2090909,2401
24,03,8785.88095238,8155.17241379,2403
24,04,5520.9375,13673.2142857,2404
25,01,8811.77179487,13180.2679245,2501
25,02,7208.75,7229.07619048,2502
25,03,4064.44444444,6937.0,2503
25,07,7638.125,10582.0222222,2507
25,08,25550.625,9805.55555556,2508
26,01,7400.40322581,8310.82278481,2601
26,02,4827.57575758,6861.44736842,2602
26,03,11993.8888889,13143.0,2603
27,01,6762.79032258,8712.5,2701
27,02,6044.0,9376.04485294,2702
28,01,8057.14285714,11777.6176471,2801
28,02,7635.55555556,10035.9090909,2802
28,03,10287.3809524,12970.0,2803
29,03,8366.57894737,6442.75,2903
29,05,4379.5,5633.33333333,2905
30,01,5817.31454545,7083.17073171,3001
30,02,7455.42857143,7984.44444444,3002
30,03,7710.0,21970.8333333,3003
31,01,6013.5,6941.66666667,3101
31,02,3510.29411765,11795.0,3102
32,01,9355.54545455,13120.9133333,3201
32,02,14685.3448276,12477.9491525,3202
32,03,7096.38888889,9805.48618785,3203
32,04,8048.78666667,8210.51470588,3204
32,06,7971.33333333,10986.4953271,3206
